,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
59,Crofton Park,51.462680000000034,-0.035579999999924894,One Tree Hill,51.45049994989502,-0.05229256735430082,Scenic Lookout
60,Crofton Park,51.462680000000034,-0.035579999999924894,Golden Chippy,51.475991562067,-0.018594816686180994,Fish & Chips Shop
61,Crofton Park,51.462680000000034,-0.035579999999924894,Le Querce,51.448047805292504,-0.041275405911631,Italian Restaurant
62,Crofton Park,51.462680000000034,-0.035579999999924894,Parlez,51.46432603087239,-0.03734667841877312,Restaurant
63,Crofton Park,51.462680000000034,-0.035579999999924894,Lomond Coffee,51.478349355447506,-0.027025938034057617,Coffee Shop
64,Crofton Park,51.462680000000034,-0.035579999999924894,Deli X,51.479426799034705,-0.02611247661401857,Deli / Bodega
65,Crofton Park,51.462680000000034,-0.035579999999924894,Asda,51.465088,-0.0166273,Supermarket
66,Crofton Park,51.462680000000034,-0.035579999999924894,Babette,51.46403,-0.062026,French Restaurant
67,Crofton Park,51.462680000000034,-0.035579999999924894,The Albany,51.477740235214576,-0.027607984727297464,Performing Arts Venue
68,Crofton Park,51.462680000000034,-0.035579999999924894,Buster Mantis,51.478747729566436,-0.02582012839270399,Bar
69,Crofton Park,51.462680000000034,-0.035579999999924894,The New Cross House,51.47546149553472,-0.03692998823661782,Gastropub
70,Crofton Park,51.462680000000034,-0.035579999999924894,Levante Pide Restaurant,51.459848264113056,-0.011476481770328631,Turkish Restaurant
71,Crofton Park,51.462680000000034,-0.035579999999924894,Friendly Place,51.472374,-0.015076,Speakeasy
72,Crofton Park,51.462680000000034,-0.035579999999924894,Little Nan's Bar,51.47871006556066,-0.02664217416943338,Cocktail Bar
73,Crofton Park,51.462680000000034,-0.035579999999924894,Marcella,51.479605,-0.026249,Italian Restaurant
74,Crofton Park,51.462680000000034,-0.035579999999924894,The Birds Nest,51.47620295846244,-0.02273821763957116,Pub
75,Crofton Park,51.462680000000034,-0.035579999999924894,Co-op Food,51.459103,-0.03412474,Grocery Store
76,Crofton Park,51.462680000000034,-0.035579999999924894,Peckham Rye Common,51.4605315848711,-0.06321430206298828,Park
77,Crofton Park,51.462680000000034,-0.035579999999924894,Goldsmiths Cafe,51.47504704551878,-0.03525552489867685,Breakfast Spot
78,Crofton Park,51.462680000000034,-0.035579999999924894,Mamma Dough,51.47345590103026,-0.05632257820484392,Pizza Place
79,Crofton Park,51.462680000000034,-0.035579999999924894,Deptford Cinema,51.47468299670654,-0.02405274564912467,Indie Movie Theater
